Family	CName	SName	Status04	Range	Mass	Clutch	ElevRange
Tetraonidae	Rock_Ptarmigan	Lagopus_mutus	1_(LC)	12770421	422	6.5	3000
Megapodiidae	Malleefowl	Leipoa_ocellata	3_(VU)	1314603	1873	9	NA
Phasianidae	Snow_Partridge	Lerwa_lerwa	1_(LC)	1508625	581.5	3.33	2500
Phasianidae	Wattled_Pheasant	Lobiophasis_bulweri	3_(VU)	245178	1396.7	5	1350
Phasianidae	Himalayan_Monal	Lophophorus_impejanus	1_(LC)	633687	2050	4	2400
Phasianidae	Chinese_Monal	Lophophorus_lhuysii	3_(VU)	179857	3008	4	1900
Phasianidae	Sclater's_Monal	Lophophorus_sclateri	3_(VU)	258430	2500	4	1700
Phasianidae	Siamese_Fireback	Lophura_diardi	2_(NT)	601922	1420	6	800
Phasianidae	Edwards'_Pheasant	Lophura_edwardsi	4_(EN)	5831	1082	5.5	600
Phasianidae	Crestless_Fireback	Lophura_erythrophthalma	3_(VU)	662496	1043	4.5	300
Phasianidae	Aceh_Pheasant	Lophura_hoogerwerfi	3_(VU)	38000	1100	2	1400
Phasianidae	Crested_Fireback	Lophura_ignita	2_(NT)	1250343	2175	6	1000
Phasianidae	Salvadori's_Pheasant	Lophura_inornata	3_(VU)	39035	1100	2	1200
Phasianidae	Kalij_Pheasant	Lophura_leucomelanos	1_(LC)	1571126	995	7.5	3126
Phasianidae	Silver_Pheasant	Lophura_nycthemera	1_(LC)	947699	1750	6.9	1525
Phasianidae	Swinhoe's_Pheasant	Lophura_swinhoii	2_(NT)	36080	1100	6	1700
Megapodiidae	Maleo	Macrocephalon_maleo	4_(EN)	91085	1547.9	17	1200
Phasianidae	Madagascar_Partridge	Margaroperdix_madagascarensis	1_(LC)	566857	220	17.5	2700
Megapodiidae	New_Guinea_Scrubfowl	Megapodius_affinis	1_(LC)	207840	652.3	28	1800
Megapodiidae	Sula_Scrubfowl	Megapodius_bernsteinii	2_(NT)	5241	NA	NA	450
Megapodiidae	Tabon_Scrubfowl	Megapodius_cumingii	1_(LC)	396840	NA	NA	1750
Megapodiidae	Melanesian_Scrubfowl	Megapodius_eremita	1_(LC)	64385	110	6.45	1500
Megapodiidae	Dusky_Scrubfowl	Megapodius_freycinet	1_(LC)	21199	779.5	NA	450
Megapodiidae	Nicobar_Scrubfowl	Megapodius_nicobariensis	3_(VU)	524	800	20	670
Megapodiidae	Orange-footed_Scrubfowl	Megapodius_reinwardt	1_(LC)	932475	1025	12.5	1900
Phasianidae	Black_Partridge	Melanoperdix_nigra	3_(VU)	894226	260	4	1200
Meleagrididae	Wild_Turkey	Meleagris_gallopavo	1_(LC)	4264588	7400	11.5	2500
Meleagrididae	Ocellated_Turkey	Meleagris_ocellata	2_(NT)	137177	5525	12	300
Cracidae	Salvin's_Curassow	Mitu_salvini	1_(LC)	748434	3140	2	600
Cracidae	Crestless_Curassow	Mitu_tomentosa	1_(LC)	1209671	2825	2	600
Cracidae	Razor-billed_Curassow	Mitu_tuberosa	1_(LC)	4050217	3860	2.5	1340
Cracidae	Nocturnal_Curassow	Nothocrax_urumutum	1_(LC)	1856690	1250	2	800
Numididae	Helmeted_Guineafowl	Numida_meleagris	1_(LC)	14914043	1299	9	3000
Phasianidae	Black-fronted_Wood-Quail	Odontophorus_atrifrons	3_(VU)	143269	304	NA	1900
Phasianidae	Stripe-faced_Wood-Quail	Odontophorus_balliviani	1_(LC)	113708	311	NA	1000
Phasianidae	Spot-winged_Wood-Quail	Odontophorus_capueira	1_(LC)	2478527	457	5	1600
Phasianidae	Venezuelan_Wood-Quail	Odontophorus_columbianus	2_(NT)	75093	340	6	1300
Phasianidae	Tacarcuna_Wood-Quail	Odontophorus_dialeucos	3_(VU)	13763	264	NA	400
Phasianidae	Rufous-fronted_Wood-Quail	Odontophorus_erythrops	1_(LC)	184356	280	NA	1600
Phasianidae	Marbled_Wood-Quail	Odontophorus_gujanensis	1_(LC)	4330777	300	4	1800
Phasianidae	Spotted_Wood-Quail	Odontophorus_guttatus	1_(LC)	379558	314	NA	2900
Phasianidae	Chestnut_Wood-Quail	Odontophorus_hyperythrus	2_(NT)	133125	392	NA	1100
Phasianidae	Black-breasted_Wood-Quail	Odontophorus_leucolaemus	1_(LC)	54692	275	5	1050
Phasianidae	Dark-backed_Wood-Quail	Odontophorus_melanonotus	3_(VU)	13840	322	NA	250
Phasianidae	Black-eared_Wood-Quail	Odontophorus_melanotis	1_(LC)	215752	340	4	1600
Phasianidae	Rufous-breasted_Wood-Quail	Odontophorus_speciosus	1_(LC)	1055669	317	NA	1700
Phasianidae	Starred_Wood-Quail	Odontophorus_stellatus	1_(LC)	1293820	310	NA	1050
Phasianidae	Gorgeted_Wood-Quail	Odontophorus_strophium	5_(CR)	49711	302	NA	550
Phasianidae	Himalayan_Quail	Ophrysia_superciliosa	5_(CR)	10705	705	NA	450
Cracidae	Horned_Guan	Oreophasis_derbianus	4_(EN)	68569	NA	2	1575
Phasianidae	Mountain_Quail	Oreortyx_pictus	1_(LC)	570392	233	9.5	2500
Cracidae	Chaco_Chachalaca	Ortalis_canicollis	1_(LC)	1249264	590	3.5	1000
Cracidae	Grey-headed_Chachalaca	Ortalis_cinereiceps	1_(LC)	270440	493	3	1700
Cracidae	Colombian_Chachalaca	Ortalis_colombiana	1_(LC)	4812723	600	2.5	2500
Cracidae	Rufous-headed_Chachalaca	Ortalis_erythroptera	3_(VU)	111959	632	3	1850
Cracidae	Chestnut-winged_Chachalaca	Ortalis_garrula	1_(LC)	47268	534	3	800
Cracidae	White-bellied_Chachalaca	Ortalis_leucogastra	1_(LC)	162429	439	2.5	1500
Cracidae	Little_Chachalaca	Ortalis_motmot	1_(LC)	1836417	500	3	1700
Cracidae	West_Mexican_Chachalaca	Ortalis_poliocephala	1_(LC)	277345	760	3	3000
Cracidae	Rufous-vented_Chachalaca	Ortalis_ruficauda	1_(LC)	453557	625	3.5	1600
Cracidae	Buff-browed_Chachalaca	Ortalis_superciliaris	2_(NT)	454300	NA	2.5	1000
Cracidae	Plain_Chachalaca	Ortalis_vetula	1_(LC)	677756	584	3	1850
Cracidae	Rufous-bellied_Chachalaca	Ortalis_wagleri	1_(LC)	185416	NA	3	1300
Cracidae	Northern_Helmeted_Curassow	Pauxi_pauxi	3_(VU)	117294	3625	2	1700
Cracidae	Southern_Helmeted_Curassow	Pauxi_unicornis	3_(VU)	172863	3850	1	750
Phasianidae	Indian_Peafowl	Pavo_cristatus	1_(LC)	2310360	5000	4.5	2000
Phasianidae	Green_Peafowl	Pavo_muticus	3_(VU)	759699	4425	4.5	3000
Cracidae	White-winged_Guan	Penelope_albipennis	5_(CR)	14091	1600	3	900
Cracidae	Band-tailed_Guan	Penelope_argyrotis	1_(LC)	365008	843	3.25	2750
Cracidae	Bearded_Guan	Penelope_barbata	3_(VU)	110347	NA	3.25	1800
Cracidae	Red-faced_Guan	Penelope_dabbenei	1_(LC)	19486	1230	3	700
Cracidae	Spix's_Guan	Penelope_jacquacu	1_(LC)	5274884	1282	2	1700
Cracidae	White-browed_Guan	Penelope_jacucaca	4_(EN)	631322	1300	3	500
Cracidae	Marail_Guan	Penelope_marail	1_(LC)	1629129	910	2.5	500
Cracidae	Andean_Guan	Penelope_montagnii	1_(LC)	681482	460	2	2400
Cracidae	Dusky-legged_Guan	Penelope_obscura	1_(LC)	1577285	960	2.5	2200
Cracidae	Chestnut-bellied_Guan	Penelope_ochrogaster	3_(VU)	596447	NA	2	500
Cracidae	Baudo_Guan	Penelope_ortoni	4_(EN)	147227	NA	3.25	1400
Cracidae	Cauca_Guan	Penelope_perspicax	4_(EN)	17978	NA	2	800
Cracidae	White-crested_Guan	Penelope_pileata	2_(NT)	104101	1100	3	500
Cracidae	Crested_Guan	Penelope_purpurascens	1_(LC)	2078446	2060	2	2300
Cracidae	Rusty-margined_Guan	Penelope_superciliaris	1_(LC)	6737262	850	3	1100
Cracidae	Highland_Guan	Penelopina_nigra	2_(NT)	137300	890	2	2400
Phasianidae	Rock_Bush-Quail	Perdicula_argoondah	1_(LC)	1098140	62	5.5	600
Phasianidae	Jungle_Bush-Quail	Perdicula_asiatica	1_(LC)	2633878	69.5	5.5	1200
Phasianidae	Painted_Bush-Quail	Perdicula_erythrorhyncha	1_(LC)	1029412	77.5	5.5	1400
Phasianidae	Manipur_Bush-Quail	Perdicula_manipurensis	3_(VU)	223502	71	4	1000
Phasianidae	Daurian_Partridge	Perdix_dauurica	1_(LC)	7566742	297	19	3000
Phasianidae	Tibetan_Partridge	Perdix_hodgsoniae	1_(LC)	2302661	450	9	2000
Phasianidae	Grey_Partridge	Perdix_perdix	1_(LC)	8505463	398	16	NA
Phasianidae	Common_Pheasant	Phasianus_co1_(LC)hicus	1_(LC)	7178215	1317	10.5	3400
Phasianidae	Banded_Quail	Philortyx_fasciatus	1_(LC)	242547	130	5.5	1500
Cracidae	Red-throated_Piping-Guan	Pipile_cujubi	1_(LC)	1710722	1275	3.25	NA
Cracidae	Blue-throated_Piping-Guan	Pipile_cumanensis	1_(LC)	3612603	1250	3	2000
Cracidae	Black-fronted_Piping-Guan	Pipile_jacutinga	4_(EN)	509691	1250	2.5	1850
Cracidae	Trinidad_Piping-Guan	Pipile_pipile	5_(CR)	4268	1450	2	500
Phasianidae	Grey_Peacock-Pheasant	Polyplectron_bica1_(LC)aratum	1_(LC)	1301662	725	2	1800
Phasianidae	Bronze-tailed_Peacock-Pheasant	Polyplectron_cha1_(LC)urum	1_(LC)	121847	508	2	900
Phasianidae	Palawan_Peacock-Pheasant	Polyplectron_emphanum	3_(VU)	10001	436	2	600
Phasianidae	Germain's_Peacock-Pheasant	Polyplectron_germaini	3_(VU)	90970	510	1.5	1220
Phasianidae	Mountain_Peacock-Pheasant	Polyplectron_inopinatum	3_(VU)	24955	NA	2	1100
Phasianidae	Malaysian_Peacock-pheasant	Polyplectron_malacense	3_(VU)	191014	633	1	150
Phasianidae	Bornean_Peacock-Pheasant	Polyplectron_schleiermacheri	4_(EN)	493651	NA	1	1000
Phasianidae	Stone_Partridge	Ptilopachus_petrosus	1_(LC)	6952741	190	5	900
Phasianidae	Koklass_Pheasant	Pucrasia_macrolopha	1_(LC)	1812538	1184	6	2000
Phasianidae	Crested_Argus	Rheinardia_ocellata	3_(VU)	28125	NA	2	1900
Phasianidae	Long-billed_Partridge	Rhizothera_longirostris	2_(NT)	1065376	800	3.5	1500
Phasianidae	Tawny-faced_Quail	Rhynchortyx_cinctus	1_(LC)	353050	150	NA	1410
Phasianidae	Crested_Partridge	Rollulus_rouloul	2_(NT)	1332915	232	5.5	1200
Phasianidae	Elliot's_Pheasant	Syrmaticus_ellioti	3_(VU)	73421	1156	6.5	1200
Phasianidae	Hume's_Pheasant	Syrmaticus_humiae	3_(VU)	342490	1022	9	1660
Phasianidae	Mikado_Pheasant	Syrmaticus_mikado	2_(NT)	35134	1300	7.5	1700
